Quantity	Value	Uncertainty	Unit	Category
alpha particle mass	6.644	657.0	3450 e-27      0.000 000 0021 e-27      kg	mass
alpha particle mass in u	4.001	506.0	179 129        0.000 000 000 062        u	mass
alpha particle molar mass	4.001	506.0	1833 e-3       0.000 000 0012 e-3       kg mol^-1	mass
alpha particle relative atomic mass	4.001	506.0	179 129        0.000 000 000 062	mass
Angstrom star	1.0	14.0	95 e-10        0.000 000 90 e-10        m	other
atomic mass constant	1.66	539.0	068 92 e-27    0.000 000 000 52 e-27    kg	mass
atomic mass unit-electron volt relationship	9.314	941.0	0372 e8        0.000 000 0029 e8        eV	mass
atomic mass unit-hartree relationship	3.423	177.0	6922 e7        0.000 000 0011 e7        E_h	mass
atomic mass unit-hertz relationship	2.252	342.0	721 85 e23     0.000 000 000 70 e23     Hz	mass
atomic mass unit-inverse meter relationship	7.513	6.0	6209 e14       0.000 000 0023 e14       m^-1	mass
atomic mass unit-joule relationship	1.492	418.0	087 68 e-10    0.000 000 000 46 e-10    J	mass
atomic mass unit-kelvin relationship	1.08	954.0	020 67 e13     0.000 000 000 34 e13     K	mass
atomic mass unit-kilogram relationship	1.66	539.0	068 92 e-27    0.000 000 000 52 e-27    kg	mass
atomic unit of 1st hyperpolarizability	3.206	361.0	2996 e-53      0.000 000 0015 e-53      C^3 m^3 J^-2	energy (J)
atomic unit of 2nd hyperpolarizability	6.235	379.0	9735 e-65      0.000 000 0039 e-65      C^4 m^4 J^-3	energy (J)
atomic unit of action	1.054	571.0	817... e-34    (exact)                  J s	energy (J)
atomic unit of charge	1.602	176.0	634 e-19       (exact)                  C	charge
atomic unit of charge density	1.081	202.0	386 77 e12     0.000 000 000 51 e12     C m^-3	charge
atomic unit of current	6.623	618.0	237 5082 e-3   0.000 000 000 0072 e-3   A	current
atomic unit of electric dipole mom.	8.478	353.0	6198 e-30      0.000 000 0013 e-30      C m	unit definition
atomic unit of electric field	5.142	206.0	751 12 e11     0.000 000 000 80 e11     V m^-1	wavelength/frequency
atomic unit of electric field gradient	9.717	362.0	4424 e21       0.000 000 0030 e21       V m^-2	unit definition
atomic unit of electric polarizability	1.648	777.0	272 12 e-41    0.000 000 000 51 e-41    C^2 m^2 J^-1	energy (J)
atomic unit of electric potential	27.211	386.0	245 981       0.000 000 000 030        V	unit definition
atomic unit of electric quadrupole mom.	4.486	551.0	5185 e-40      0.000 000 0014 e-40      C m^2	unit definition
atomic unit of energy	4.359	744.0	722 2060 e-18  0.000 000 000 0048 e-18  J	energy (J)
atomic unit of force	8.238	723.0	5038 e-8       0.000 000 0013 e-8       N	unit definition
atomic unit of length	5.291	772.0	105 44 e-11    0.000 000 000 82 e-11    m	length
atomic unit of mag. dipole mom.	1.854	802.0	013 15 e-23    0.000 000 000 58 e-23    J T^-1	energy (J)
atomic unit of mag. flux density	2.35	517.0	570 77 e5      0.000 000 000 73 e5      T	unit definition
atomic unit of magnetizability	7.891	36.0	5794 e-29      0.000 000 0049 e-29      J T^-2	energy (J)
atomic unit of mass	9.109	383.0	7139 e-31      0.000 000 0028 e-31      kg	mass
atomic unit of momentum	1.992	851.0	915 45 e-24    0.000 000 000 31 e-24    kg m s^-1	velocity
atomic unit of permittivity	1.112	650.0	056 20 e-10    0.000 000 000 17 e-10    F m^-1	wavelength/frequency
atomic unit of time	2.418	884.0	326 5864 e-17  0.000 000 000 0026 e-17  s	time
atomic unit of velocity	2.187	691.0	262 16 e6      0.000 000 000 34 e6      m s^-1	velocity
Avogadro constant	6.022	140.0	76 e23         (exact)                  mol^-1	named constant
Bohr magneton	9.274	10.0	0657 e-24      0.000 000 0029 e-24      J T^-1	magnetic
Bohr magneton in eV/T	5.788	381.0	7982 e-5       0.000 000 0018 e-5       eV T^-1	magnetic
